"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Touch%","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","Touch%/96","extreme1","extreme2","plotnames"
"Julian","Gressel","Julian Gressel",2018,"ATL",3149,"FB/WB",1777,0.732,0.752,-36.7570631308482,-2.06848976538256,19.0859411824851,-1.91846538461538,0.105274061196449,111.25,54.1733883772626,0.731570061902082,0.752254959555908,-1.12057099414462,-2.06848976538256,19.0859411824851,-1.91846538461538,0.105274061196449,998,975,"Gressel 2018"
"Pedro","Morales","Pedro Morales",2015,"VAN",1515,"CAM",959,0.703,0.741,-36.7878681197762,-3.83606549736978,22.4773761439373,4.29407270029674,0.133540202171517,1410.9,60.7683168316832,0.70281543274244,0.741176087716138,-2.33111243531255,-3.83606549736978,22.4773761439373,4.29407270029674,0.133540202171517,829,665,"Morales 2015"
"Shea","Salinas","Shea Salinas",2016,"SJE",1372,"Wing",670,0.61,0.666,-37.3198398631066,-5.57012535270247,17.7891731201706,-0.148459657701712,0.113529131231393,166.45833,46.8804664723032,0.61044776119403,0.666149014721055,-2.61130074843894,-5.57012535270247,17.7891731201706,-0.148459657701712,0.113529131231393,209,181,"Salinas 2016"
"Quincy","Amarikwa","Quincy Amarikwa",2015,"CHI,SJE",2302,"F",622,0.707,0.768,-37.4320297129452,-6.018011207869,15.1509165645089,-1.26473863636364,0.0791589539996672,100,25.9391833188532,0.707395498392283,0.767575610470973,-1.56102295935827,-6.018011207869,15.1509165645089,-1.26473863636364,0.0791589539996672,1261,718,"Amarikwa 2015"
"Teal","Bunbury","Teal Bunbury",2016,"NER",1727,"Wing",642,0.684,0.742,-37.4341442734003,-5.83086359398759,14.8295121093683,-3.04108200455581,0.0956305360800349,250,35.6873190503764,0.68380062305296,0.742109258992835,-2.08087889417859,-5.83086359398759,14.8295121093683,-3.04108200455581,0.0956305360800349,844,522,"Bunbury 2016"
"Bobby","Shuttleworth","Bobby Shuttleworth",2017,"MIN",3021,"GK",963,0.661,0.701,-37.6022687479853,-3.90470080456753,31.0195862529847,21.6468995290424,0.0602611921933541,171.875,30.6017874875869,0.66147455867082,0.700521566716496,-1.19490824223985,-3.90470080456753,31.0195862529847,21.6468995290424,0.0602611921933541,375,385,"Shuttleworth 2017"
"Teal","Bunbury","Teal Bunbury",2015,"NER",1889,"Wing",666,0.662,0.719,-37.6444737073034,-5.65232337947499,17.014172363701,-2.3096485260771,0.0941695384260492,240,33.8464796188459,0.662162162162162,0.718685395956912,-1.91311248062527,-5.65232337947499,17.014172363701,-2.3096485260771,0.0941695384260492,536,389,"Bunbury 2015"
"Chris","Rolfe","Chris Rolfe",2015,"DCU",2510,"Wing",874,0.737,0.78,-37.6511971056462,-4.30791728897554,17.0643222598445,1.05660714285714,0.0836430524739034,225,33.4278884462151,0.736842105263158,0.779921278152913,-1.44004578571396,-4.30791728897554,17.0643222598445,1.05660714285714,0.0836430524739034,1518,1035,"Rolfe 2015"
"David","Villa","David Villa",2018,"NYC",1835,"F",634,0.703,0.763,-37.6667321100832,-5.94112493849892,16.8257109517363,0.550246636771301,0.0753090397493137,5610,33.1683923705722,0.703470031545741,0.76288128093073,-1.97057563082724,-5.94112493849892,16.8257109517363,0.550246636771301,0.0753090397493137,1179,671,"Villa 2018"
"Andre","Shinyashiki","Andre Shinyashiki",2019,"COL",1814,"Wing",543,0.667,0.736,-37.6855776943267,-6.94025371902885,16.403029328304,0.384074585635359,0.101507116212873,95,28.7364939360529,0.666666666666667,0.736069203856955,-1.99438558911541,-6.94025371902885,16.403029328304,0.384074585635359,0.101507116212873,759,428,"Shinyashiki 2019"
"Luis","Solignac","Luis Solignac",2017,"CHI",2259,"Wing",733,0.759,0.81,-37.7987669520081,-5.15672127585376,16.1974595459735,-3.31845323741007,0.0784919142105713,328.31242,31.1500664010624,0.758526603001364,0.810093815759902,-1.60632210154616,-5.15672127585376,16.1974595459735,-3.31845323741007,0.0784919142105713,2084,1313,"Solignac 2017"
"Will","Bruin","Will Bruin",2017,"SEA",1914,"F",401,0.688,0.783,-37.8093671239913,-9.42876985635692,13.5405170635391,-1.42583333333333,0.0467620848665414,326.66667,20.1128526645768,0.688279301745636,0.782567000309205,-1.8963945892911,-9.42876985635692,13.5405170635391,-1.42583333333333,0.0467620848665414,1569,553,"Bruin 2017"
"Patrick","Mullins","Patrick Mullins",2017,"DCU",1120,"F",262,0.592,0.736,-37.8831000551581,-14.4591984943352,14.8238437725012,-0.974903225806451,0.0656319012730544,144.125,22.4571428571429,0.591603053435115,0.736195038378466,-3.2471228618707,-14.4591984943352,14.8238437725012,-0.974903225806451,0.0656319012730544,764,135,"Mullins 2017"
"Dominic","Oduro","Dominic Oduro",2015,"MTL",1780,"Wing",477,0.709,0.788,-37.9020003378391,-7.94591202051135,13.9749939839022,-1.72738165680473,0.0675012332549542,251.66667,25.7258426966292,0.708595387840671,0.788054508045784,-2.0441528272093,-7.94591202051135,13.9749939839022,-1.72738165680473,0.0675012332549542,1663,729,"Oduro 2015"
"Fredy","Montero","Fredy Montero",2017,"VAN",2580,"F",633,0.705,0.765,-38.0625065006316,-6.01303420231146,18.2616332867035,0.740280269058296,0.0758254512438029,1800.00004,23.553488372093,0.704581358609795,0.764711700632909,-1.41627931165141,-6.01303420231146,18.2616332867035,0.740280269058296,0.0758254512438029,1214,682,"Montero 2017"
"Dominic","Dwyer","Dominic Dwyer",2018,"ORL",2388,"F",317,0.628,0.748,-38.1176697984338,-12.0245015137015,17.0858225649285,-4.15502512562814,0.0429832023044147,1383.33333,12.7437185929648,0.627760252365931,0.748005267502946,-1.53236863511292,-12.0245015137015,17.0858225649285,-4.15502512562814,0.0429832023044147,933,230,"Dwyer 2018"
"Sebastian","Giovinco","Sebastian Giovinco",2017,"TOR",2162,"F",707,0.682,0.736,-38.13461362198,-5.39386331286845,20.1442090021252,2.55433609958506,0.0845119000393452,7115.55567,31.3931544865865,0.681753889674682,0.735692522803366,-1.69330384260411,-5.39386331286845,20.1442090021252,2.55433609958506,0.0845119000393452,755,511,"Giovinco 2017"
"Jeremy","Ebobisse","Jeremy Ebobisse",2019,"POR",2490,"F",585,0.718,0.783,-38.3430781140923,-6.55437232719527,16.6940226744782,-0.862226190476191,0.0555016042596478,238,22.5542168674699,0.717948717948718,0.783492441220671,-1.47828734897705,-6.55437232719527,16.6940226744782,-0.862226190476191,0.0555016042596478,1581,817,"Ebobisse 2019"
"Mike","Grella","Mike Grella",2015,"NYRB",2431,"Wing",989,0.749,0.788,-38.6246128901839,-3.90542091912881,14.2510252271996,-1.24358299595142,0.0843778975624054,60,39.0555327025915,0.749241658240647,0.788295867431935,-1.5252829442442,-3.90542091912881,14.2510252271996,-1.24358299595142,0.0843778975624054,1670,1184,"Grella 2015"
